20126501, comp2048, 1
20126501, comp2049, 1
20126501, comp2051, 2
20126501, comp2044, 2
20126501, comp2048, 2
20126501, comp2043, 3
20126501, comp2051, 4
20126501, comp2049, 5
20126501, comp2048, 5
20126502, comp2048, 1
20126502, comp2049, 1
20126502, comp2051, 2
20126502, comp2044, 2
20126502, comp2048, 2
20126502, comp2043, 3
20126502, comp2051, 4
20126502, comp2049, 5
20126502, comp2048, 5
20126503, comp2048, 1
20126503, comp2049, 1
20126503, comp2051, 2
20126503, comp2044, 2
20126503, comp2048, 2
20126503, comp2043, 3
20126503, comp2051, 4
20126503, comp2049, 5
20126503, comp2048, 5
20126504, comp2048, 1
20126504, comp2049, 1
20126504, comp2051, 2
20126504, comp2044, 2
20126504, comp2048, 2
20126504, comp2043, 3
20126504, comp2051, 4
20126504, comp2049, 5
20126504, comp2048, 5
20126505, comp2048, 1
20126505, comp2049, 1
20126505, comp2051, 2
20126505, comp2044, 2
20126505, comp2048, 2
20126505, comp2043, 3
20126505, comp2051, 4
20126505, comp2049, 5
20126505, comp2048, 5
20126506, comp2048, 1
20126506, comp2049, 1
20126506, comp2051, 2
20126506, comp2044, 2
20126506, comp2048, 2
20126506, comp2043, 3
20126506, comp2051, 4
20126506, comp2049, 5
20126506, comp2048, 5
20126507, comp2048, 1
20126507, comp2049, 1
20126507, comp2051, 2
20126507, comp2044, 2
20126507, comp2048, 2
20126507, comp2043, 3
20126507, comp2051, 4
20126507, comp2049, 5
20126507, comp2048, 5
20126508, comp2048, 1
20126508, comp2049, 1
20126508, comp2051, 2
20126508, comp2044, 2
20126508, comp2048, 2
20126508, comp2043, 3
20126508, comp2051, 4
20126508, comp2049, 5
20126508, comp2048, 5
20126509, comp2048, 1
20126509, comp2049, 1
20126509, comp2051, 2
20126509, comp2044, 2
20126509, comp2048, 2
20126509, comp2043, 3
20126509, comp2051, 4
20126509, comp2049, 5
20126509, comp2048, 5
20126510, comp2048, 1
20126510, comp2049, 1
20126510, comp2051, 2
20126510, comp2044, 2
20126510, comp2048, 2
20126510, comp2043, 3
20126510, comp2051, 4
20126510, comp2049, 5
20126510, comp2048, 5
20126511, comp2048, 1
20126511, comp2049, 1
20126511, comp2051, 2
20126511, comp2044, 2
20126511, comp2048, 2
